channel_name,channel_type,country,country_rank,daily_subs_average,daily_views_average,estimated_monthly_income,people_rank,social_blade_rank,subscriber_rank,subscribers,subscribers_last_30_days,uploads,video_view_rank,views,views_last_30_days,yearly_income,channel_age,subs_views_interaction,subs_per_upload,log_views_last_30_days,mean_income_per_type,channel_name_length
MrBeast,entertainment,US,1.0,12.130568627108696,7.822789358193384,7.781351473504217,1.0,11.0,2.0,18.730564607422608,6000000.0,-0.144412825284279,23.0,4.276233101454493,7.821561630244092,7.816227743943616,1.115828167432296,94.89488316498043,-129.70153149868221,2.1771989099294404,0.3451460041477131,7.0
How Ridiculous,sports,AU,4.0,0.0356015850937702,0.3199301869719865,0.3120137897542197,7.0,1177.0,243.0,1.2384726581551964,200000.0,-0.1471094407736608,431.0,0.8492755942676884,0.3199239778649711,0.3110049016757208,1.6355089349866914,0.011390021775548986,-8.41871637633836,0.2775741424132292,-0.03718867569354867,14.0
boxtoxtv,comedy,DE,5.0,1.2830084477077022,2.025082014691977,2.02632883718212,29.0,175.0,261.0,1.1133188016158253,800000.0,-0.1309297478373703,319.0,1.0842880408893167,2.0250529013327605,2.0136785782459654,-1.117520276576638,2.5981973321507392,-8.503176856329812,1.1069285793737784,0.34790651881194223,8.0
Sierra & Rhia FAM,entertainment,CA,9.0,1.0765669910062992,3.171810342913141,3.1765321308615606,164.0,55.0,296.0,0.8482871054148038,700000.0,-0.0666547229448916,260.0,1.2329258345572969,3.171762645206503,3.16877390205514,-0.5734249763183445,3.414666316912658,-12.726586623368695,1.428338643191837,0.3451460041477131,17.0
Tibo InShape,entertainment,FR,2.0,2.1212858779497625,3.358903641351666,3.404125778919001,144.0,88.0,275.0,1.024974902882151,1200000.0,-0.0687369197151737,466.0,0.8283007486796565,3.358856247887477,3.349257546400324,1.862215310094313,7.125194859793323,-14.911562914505863,1.4722096944806373,0.3451460041477131,12.0
Tsuriki Show,comedy,DE,1.0,0.4509868191838659,0.9218809013604072,0.8786158641046399,12.0,375.0,161.0,1.8863279155354709,400000.0,-0.037162624428109,37.0,3.229902857331259,0.9218658486193532,0.914975369112443,-0.4519336111965676,0.4157561353708853,-50.75873796762033,0.6532965103074136,0.34790651881194223,12.0
شوشع الاسطورة,people,FR,581.0,0.0318481040628356,0.5210102609192134,0.5134049340866832,1268.0,930.0,1705.0,-0.2898031700217487,198000.0,-0.0954982683692912,26383.0,-0.225820477433626,0.520999396739144,0.5123524553072076,-1.100662623042994,0.01659318900756024,3.034643192702528,0.41936761665587,0.1321637063251685,13.0
Borzah,entertainment,CA,108.0,,-1.4359696706359926,-0.5041617188361619,753.0,134.0,969.0,-0.0461948692636432,,-0.1058751178474184,9161.0,-0.1455704818130049,-1.435952830229836,-0.5040682603693454,-0.5774940651023275,,0.4363146903903974,,0.3451460041477131,6.0
Cocomelon - Nursery Rhymes,entertainment,US,2.0,1.7021471628287326,,-0.5041617188361619,1.0,12.0,4.0,12.54649169606544,1000000.0,-0.1315783009297533,2.0,16.571600236687534,,-0.5040682603693454,,,-95.35380535703777,,0.3451460041477131,26.0
Vindooly,games,AU,73.0,0.0149574394236299,0.1483103504139613,0.1402899430277212,492.0,1566.0,1005.0,-0.0668084456348338,190000.0,-0.1500108625027424,6071.0,-0.0882298956910724,0.1483057606114767,0.1384715618639426,1.5988871359308447,0.0022183430822141498,0.4453573862600281,0.13828760443070176,-0.16597271629603552,8.0
Bounce Patrol - Kids Songs,music,AU,1.0,-0.1727166121231,0.2754795823282915,0.2675128433452721,60.0,1761.0,169.0,1.8053460083629365,100000.0,-0.1588857995564038,136.0,1.7953681469799223,0.2754725125589479,0.272291159963679,,-0.04757990016882912,-11.362538460978358,0.24331670804132996,-0.11112798307976889,26.0
Stokes Twins,people,US,19.0,18.761718448426485,3.7655586151090894,3.7528789380022616,2.0,13.0,57.0,3.3955361855690644,9200000.0,-0.1613776088060857,856.0,0.4908279857528386,3.767587994334777,3.764369928394246,1.935458908206007,70.64835053772349,-21.040937529624713,1.56184051544529,0.1321637063251685,12.0
Mini-mimi,howto,FR,173.0,0.1400734737881165,0.357114792396616,0.3493685987836283,433.0,1094.0,1150.0,-0.1742935224274703,250000.0,-0.1171053266576285,7733.0,-0.1220837567340422,0.3571084130310826,0.3492945068235515,-1.233779956119008,0.05002230951211605,1.4883483732301805,0.30535626935727356,-0.05236530727627677,9.0
German Spidey,entertainment,DE,14.0,0.8701255343048963,1.0203286578935062,0.9926292377509216,322.0,437.0,499.0,0.2976101366415705,600000.0,-0.1257413230983067,689.0,0.5768737042257925,1.02031172439498,1.0110197404507324,-0.8384970456749489,0.8878140186161848,-2.3668443222034,0.7032518185145761,0.3451460041477131,13.0
