channel_name,channel_type,country,country_rank,daily_subs_average,daily_views_average,estimated_monthly_income,people_rank,social_blade_rank,subscriber_rank,subscribers,subscribers_last_30_days,uploads,video_view_rank,views,views_last_30_days,yearly_income,channel_age
NewJeans,music,KR,66.0,-0.005686706246510366,-0.0872469155576349,-0.09542431568828574,335.0,4090.0,663.0,0.17760967419499699,180000.0,-0.15393631543032343,3751.0,-0.002744166170050222,-0.08724726067087846,-0.09198800360042228,-1.0872927598956215
doc.offcall,entertainment,QA,121.0,-0.374779007621746,-0.49154390055465375,-0.5001349786976005,1924.0,330076.0,2241.0,-0.32705484732111456,3000.0,-0.16636122730544944,459746.0,-0.2870819119144256,-0.49153981812984265,-0.5000344509182305,-0.6803838814973252
شبکه جهانی هدهد,music,IR,128.0,-0.38097225132278806,-0.4955064311957744,-0.5040945884547178,4484.0,879013.0,14355.0,-0.3366637187067138,30.0,-0.14594887208202817,2849751.0,-0.28955024590259865,-0.4955023535327422,-0.5040015716627598,1.0542105372748394
KNN 뉴스,news,KR,924.0,-0.34137302644642803,-0.09082588236994862,-0.09910565918683616,1049.0,4112.0,1931.0,-0.3081345290089861,19000.0,1.7351281708147945,15457.0,-0.1939772497844629,-0.09082847989929782,-0.10121974200867842,0.9228370993919611
CCTV百家讲坛官方频道,education,CN,63.0,-0.374779007621746,-0.4914775048526122,-0.5000223728964683,1265.0,322897.0,1953.0,-0.30990140698365953,3000.0,0.2266278123053352,128709.0,-0.27767802376697776,-0.4914733689417527,-0.49996225746049244,0.8931908811086569
La Yassmine,,IT,636.0,-0.3538846298828767,-0.4163652645967639,-0.4249045588085473,,23936.0,2030.0,-0.3147603214140116,13000.0,-0.15769109649148788,88289.0,-0.27138951388624116,-0.41636381796301275,-0.424772771226289,-1.3291128933437515
Thepentamax,autos,JP,232.0,-0.23527462930534337,-0.1638497330487292,-0.17219115511393984,144.0,5328.0,1221.0,-0.2250912641993327,70000.0,-0.1587492620632706,10201.0,-0.15631689435971263,-0.16385020935354055,-0.16868452826490804,0.8833088083475557
Kacho かちょ,entertainment,JP,44.0,-0.29783264648758667,-0.17411508593827904,-0.1823689871393439,622.0,5357.0,836.0,0.050247220187283934,40000.0,0.033290722028649355,1807.0,0.1837240517051416,-0.1741169289639858,-0.17831333069072358,-0.36822664192606097
알리캠핑,travel,KR,843.0,-0.19961655951146468,-0.2642077780224179,-0.2725619028538289,496.0,4220.0,1843.0,-0.3021713158444631,87000.0,-0.1395316099047653,67335.0,-0.26561300706076163,-0.26420802109574143,-0.27386137200706373,0.8664511548139122
娱乐撩剧团,film,CN,78.0,,-0.4919764139558543,-0.5005929811387436,1305.0,333499.0,2017.0,-0.31402412225789766,,0.06650346723331307,44733.0,-0.2537255059680671,-0.49197230055568214,-0.5004676116646589,0.25201874843248484
Ouz_the_best,,IT,460.0,-0.33098839559417564,-0.4042232604086794,-0.4126695054163062,,24534.0,1814.0,-0.29996271837612126,24000.0,-0.12024568899969333,51591.0,-0.25809052320604087,-0.4042186317245765,-0.4126262219618581,0.038682236472235246
세모이_세상모든이야기,,KR,1195.0,-0.10390279322263239,-0.06693460017844495,-0.07517692644625851,,4305.0,2282.0,-0.32705484732111456,133000.0,-0.1655078679733666,170214.0,-0.27991146291049795,-0.06693555581810268,-0.07273942293100845,
Kaede and Ahtan / かえであーたんフ�…,entertainment,JP,98.0,-0.15207246645295974,-0.18954486973879758,-0.19785228479501182,831.0,5393.0,1050.0,-0.10214600512830335,110000.0,-0.15011326562259236,7662.0,-0.12233535871684416,-0.18954629405091414,-0.1972731375291851,-0.26766201912191057
Oghlan Bakhshi,music,IR,251.0,-0.3809096933056058,-0.4955153425281845,-0.504104333187508,5452.0,879824.0,16906.0,-0.336858811483084,50.0,-0.1696381271406475,3863221.0,-0.2896566376141531,-0.49551123127480146,-0.5040104153613327,0.921093204198826
AZAMSENPAI,film,SA,473.0,-0.2790652413329137,-0.3566315993580069,-0.35138596364632,918.0,17544.0,1586.0,-0.2851651153382309,49000.0,-0.1592954120358036,44270.0,-0.2527535572487211,-0.35662941592636344,-0.3506932594048084,0.2927096362723144
Anas Abu Sneineh,music,IL,231.0,-0.36226740418529735,-0.48066554840466763,-0.4877136926342563,1629.0,120609.0,2036.0,-0.31571738031695973,9000.0,-0.17079869583228016,235620.0,-0.2836176413355943,-0.48066260104896763,-0.48767132128058543,0.10320635861825067
PLP MUSIC PRESENTS,,QA,1175.0,-0.3757173778794796,-0.4914574229767585,-0.5000212901483806,,335424.0,16187.0,-0.3368065413429999,2540.0,-0.16953572402079756,3475452.0,-0.28962014572920664,-0.49145336682828183,-0.4999442090960579,0.6188180373886631
HIMAWARIちゃんねる,entertainment,JP,84.0,-0.318476792157727,-0.12795350547184303,-0.13624391859868293,806.0,5395.0,1025.0,-0.0844772253815686,30000.0,-0.07928444105971752,738.0,0.5431955729877724,-0.12795434372288841,-0.13950032297429185,0.6647406108078994
Chetan Tech,people,IR,159.0,,,-0.5041617188361619,6152.0,880006.0,14928.0,-0.3367373386223252,-20.0,-0.17151551767122972,4365130.0,-0.2897106111397247,,-0.5040682603693454,1.1768644991920407
CGTN Español,news,CN,43.0,-0.36852320590352167,-0.4893852244120978,-0.49795107580448983,919.0,333654.0,1793.0,-0.2988584196419503,6000.0,1.9301037110090793,85686.0,-0.2709948597869746,-0.4893813637499325,-0.4978776713683056,0.391530363883329
Warner Music Italy,music,IT,15.0,-0.36014043160110104,-0.40755082723764874,-0.41602602448851395,409.0,24824.0,755.0,0.10840695352028584,10000.0,-0.11672984855151207,3450.0,0.01312752955397086,-0.40754883091362065,-0.4159561452000268,
한살차이 [Hansal],,KR,354.0,-0.29783264648758667,-0.1123670830396651,-0.12065234613423413,,4306.0,1268.0,-0.25601162875611855,40000.0,-0.1553699591082226,8695.0,-0.1384541622784959,-0.11237018294501203,-0.12053149195361305,
Rose Villain,music,IT,819.0,-0.34349999903062434,-0.40639022032502503,-0.414943276400705,1784.0,25048.0,2284.0,-0.3280119062240627,18000.0,-0.17001360524676395,146588.0,-0.2789622671809606,-0.4063857713978489,-0.4147920256940003,-0.39787286020936535
JTBC Entertainment,entertainment,KR,54.0,-0.29783264648758667,-0.10494632786480149,-0.11318138432835242,390.0,4324.0,578.0,0.2387142041524547,40000.0,2.7373475047861526,417.0,0.8706613864539103,-0.10494835711415225,-0.11107414898992544,0.983873431151706
ロンロンの天秤ニカケルch,entertainment,JP,1407.0,-0.3468155739412832,-0.2223607885831639,-0.2306595518556228,2278.0,5442.0,2784.0,-0.3317297119624381,16400.0,-0.1584761870770041,116805.0,-0.2756179280403956,-0.22235879686457438,-0.2262768591754561,
YoYo Indonesian Channel,people,CN,18.0,,-0.4929198855858091,-0.5015154825095569,851.0,338851.0,1273.0,-0.2596926245366883,,0.0010337392759183983,55364.0,-0.260613000078157,-0.49291578865934504,-0.5014151507974711,-0.19034933222623412
Sasy Mankan,games,IR,326.0,,,-0.5041617188361619,8532.0,880040.0,17699.0,-0.3369184436147292,,-0.16902370842154787,3946956.0,-0.2896647415706002,,-0.5040682603693454,
CRSPERA,,IT,764.0,-0.280941981848381,-0.40065722130394654,-0.4090964367265367,,26599.0,2186.0,-0.32381557103421316,48000.0,-0.16612228669246626,244917.0,-0.2837034709100263,-0.4006541471654488,-0.4090526458038235,-1.1111259942018072
WE ARE CHINA,education,CN,56.0,0.023089981657321564,-0.48878791411717226,-0.4973739710736877,1229.0,339663.0,1914.0,-0.2990056594731731,194000.0,-0.10894721144291666,612543.0,-0.2878348226886223,-0.488783099322755,-0.49728207534196645,-0.16302830753377726
이상한 과자가게  weird sweets shop,,KR,363.0,-0.27280943961468934,-0.08636607427799901,-0.0945581172180386,,4392.0,1278.0,-0.26190122200503013,52000.0,-0.14383254093846273,6307.0,-0.09453349979970184,-0.08636869053306528,-0.09193385850711873,-0.45542140158283867
らるきる,,JP,848.0,-0.356011602467073,-0.17296903838564934,-0.181286239051535,,5446.0,1965.0,-0.3107848459709963,12000.0,-0.14151140355519745,62399.0,-0.26375724863731054,-0.17297060411750578,-0.17825016141520275,-0.9396429668768111
ウォーターチャレンジ,games,JP,164.0,-0.130802740610997,-0.1842291972003052,-0.192546819164748,628.0,5451.0,1142.0,-0.16914012833467265,120000.0,-0.10645540219323481,5905.0,-0.08593765453841803,-0.18422885288348304,-0.18793310893432186,0.6786917723529836
Ricchi e Poveri Official,,IT,668.0,-0.34137302644642803,-0.41640141197330066,-0.4249045588085473,,26726.0,2066.0,-0.31704253879796485,19000.0,-0.1696381271406475,59189.0,-0.2618707321065654,-0.4163972873015961,-0.42480886795515804,0.08111701950520027
화장하는청담언니,people,KR,277.0,-0.08951444927071642,-0.12961866951529266,-0.13786804073039632,767.0,4418.0,1185.0,-0.19858809457923057,140000.0,-0.13997535675744835,9041.0,-0.14299647323139877,-0.1296194433174105,-0.13959958897868172,0.5595256008220544
Poul,education,IR,57.0,-0.38034667115096565,-0.4954218362937404,-0.5040101341038687,2760.0,880472.0,11010.0,-0.33624997478097773,310.0,-0.15649639342657193,3586558.0,-0.28962920071954573,-0.4954177263101342,-0.5039149395134741,0.2868966522951957
Tinkleo Store,tech,CN,110.0,-0.37684342218876,-0.49180559249937317,-0.5003666867883916,1105.0,352773.0,2165.0,-0.323226611709322,2000.0,-0.15420939041658996,226084.0,-0.28341288194072406,-0.49180146050055074,-0.500296152202531,
DRILLIONER,people,IT,325.0,-0.34556441359763834,-0.4068259970310518,-0.4153763756358286,1174.0,26928.0,1604.0,-0.28612217424117903,17000.0,-0.08990023115082792,25100.0,-0.22765453199487087,-0.40682505646675554,-0.4152251864404288,-0.5960956138291068
그분이 알고싶다,entertainment,KR,995.0,-0.3288614230099794,-0.1707353062320899,-0.1790124680671362,1735.0,4557.0,2011.0,-0.3132143031861723,25000.0,-0.13557202260390094,26760.0,-0.22992159063828252,-0.17073652576706658,-0.17811479868194388,-0.6763147927133423
Israel Defense Forces,news,IL,48.0,-0.36014043160110104,-0.4699288989911747,-0.47601026855312945,468.0,86073.0,1269.0,-0.26190122200503013,10000.0,-0.10993710826813276,65747.0,-0.2649616769348073,-0.4699231270310324,-0.47585866675819316,1.7831587280055021
Croton Media｜CLASSIC,entertainment,CN,114.0,-0.37890783675577405,-0.49164129765254455,-0.5002486672468204,1876.0,354125.0,2175.0,-0.32388919094982455,1000.0,-0.12621920432427314,63861.0,-0.2644334982919339,-0.49163720972145286,-0.5001246927404032,0.7484475800784061
IMA Media • ایما مدیا,news,IR,84.0,-0.38097225132278806,-0.4955355499157624,-0.5041238226530886,2853.0,880734.0,11973.0,-0.3364207729851962,30.0,-0.16888717092841463,3064658.0,-0.2895767462025591,-0.4955313672656267,-0.5040305392876773,-0.41298661854987345
ぼっちの冒険,,JP,713.0,-0.299709387003054,-0.20919147093343515,-0.2174500251843537,,5780.0,1822.0,-0.3002571980385668,39000.0,-0.14775799386604377,32799.0,-0.24051251627011158,-0.20919279579934566,-0.21647659728751265,-0.9832403467051999
けーさんとたろー,entertainment,JP,278.0,-0.339308611879414,-0.19059075893560665,-0.19893503288282074,1044.0,5889.0,1273.0,-0.2596926245366883,20000.0,-0.15038634060885886,8042.0,-0.12894147171765624,-0.1905922108816441,-0.19733630680470593,-0.5949330170336831
먹스나Muk Sna,people,KR,248.0,-0.026956432088473096,0.3107055772985582,0.3028104310078437,736.0,4624.0,1152.0,-0.17576592073969818,170000.0,-0.1393609380383487,8331.0,-0.13298376977812323,0.3106989914179329,0.3014392685254261,0.6972933210797632
Ameli TVIT,music,IT,19.0,,-0.4044923575451199,-0.4129943298426489,473.0,27027.0,830.0,0.05466441512396762,,-0.15618918406702212,5918.0,-0.08735382905544323,-0.40449057010056627,-0.4128969474283759,0.24446186926223065
My Travel Journal & Travel Tips,travel,LU,265.0,-0.37846993063549833,-0.4951972958193505,-0.5037860052496923,2185.0,802749.0,12846.0,-0.33647083452781196,1210.0,-0.16714631789096565,3865990.0,-0.2896563287074643,-0.495193226537919,-0.5036942080164399,1.1966286447142436
SmallRig,entertainment,CN,255.0,-0.3776566764121292,-0.49280830566309664,-0.5014007112122492,2504.0,360449.0,3217.0,-0.33328309218183855,1600.0,-0.15226373113944108,642050.0,-0.2880085303471626,-0.49280421861917745,-0.5012978364286468,0.42175788056434527
Shira Bar,people,IL,552.0,-0.36745971961142354,-0.4690328707929244,-0.4749275204653205,2089.0,81748.0,2777.0,-0.3315162142071651,6500.0,-0.16206029627175197,315599.0,-0.2853875929147799,-0.4690278222239276,-0.47487503089651195,0.192145013468164
