,matchId,playerId,interveningOpponents,interveningTeammates,minute,second,outcome,converted_seconds,distance,angle,angle_degrees,interferenceOnShooter_encoded,bodyPart_head,bodyPart_left foot,bodyPart_other,bodyPart_right foot,playType_free kick,playType_olimpico,playType_open play,playType_penalty
93,m_237,p_86,1,0,31.0,40,goal,1.0,6.160779171500956,0.5537817338945806,31.729356123596318,1.0,False,True,False,False,False,False,True,False
94,m_67,p_90,2,0,57.0,43,missed chance,1.0,13.257767534543666,-0.07549918572068534,-4.325784698469641,3.0,True,False,False,False,False,False,True,False
95,m_92,p_21,1,0,3.0,59,saved by keeper,1.0,18.957175422514823,-0.5700063025273121,-32.65895543067217,1.0,False,True,False,False,False,False,True,False
96,m_137,p_60,1,0,71.0,30,blocked shot,1.0,21.638863186406073,0.4793552876643523,27.465034870446882,2.0,False,False,False,True,False,False,True,False
97,m_145,p_17,3,1,14.0,10,blocked shot,1.0,9.86802918520208,0.2813620102339523,16.120855701722142,3.0,True,False,False,False,False,False,True,False
98,m_11,p_25,2,0,20.0,45,blocked shot,1.0,14.118278931937844,-0.7603533009339086,-43.56503508235356,1.0,False,False,False,True,False,False,True,False
99,m_124,p_155,2,0,56.0,22,missed chance,1.0,7.139355713227911,-0.21168030243727737,-12.128387935708826,2.0,True,False,False,False,False,False,True,False
100,m_80,p_38,1,0,74.0,6,goal,1.0,9.200021739104752,-0.21914053272886702,-12.555827645612565,1.0,False,False,False,True,False,False,True,False
101,m_145,p_58,1,0,51.0,48,saved by keeper,1.0,12.228593541368525,-0.3540808118525467,-20.287336125716703,1.0,False,False,True,False,False,False,True,False
102,m_200,p_148,1,0,62.0,17,missed chance,1.0,12.718824631230671,1.080422757849455,61.9036641146587,2.0,False,True,False,False,False,False,True,False
103,m_102,p_27,3,0,57.0,59,missed chance,1.0,18.747186455572475,-0.5772026092080343,-33.071273431559355,2.0,False,True,False,False,False,False,True,False
104,m_67,p_122,3,0,68.0,56,saved by keeper,1.0,19.490125705084612,0.06417908982289271,3.677190979842766,2.0,False,False,False,True,False,False,True,False
105,m_187,p_62,5,2,60.0,11,saved by keeper,1.0,31.22892569397801,-0.4637908139260767,-26.57325621490148,1.0,False,True,False,False,True,False,False,False
106,m_133,p_124,1,0,86.0,19,goal,1.0,10.97,0.0,0.0,1.0,False,False,False,True,False,False,False,True
