channel_id,channel_link,channel_name,channel_type,country,country_rank,created_date,daily_subs_average,daily_views_average,estimated_monthly_income,people_rank,social_blade_rank,socialblade_url,subscriber_rank,subscribers,subscribers_last_30_days,uploads,video_view_rank,views,views_last_30_days,yearly_income
@sonic-gang,https://youtube.com/@sonic-gang,Sonic Gang,entertainment,IN,217th,"Jan 8th, 2014",+28K,"+12,906,262",€88.1K - €1.4M,267th,328th,https://socialblade.com/youtube/channel/UC_nG9utuUtB_fxoMSx7j4sQ,426th,9.49M,840K,4133,"2,871st",3750865688,387.188M,€1.1M - €16.9M
@seemavinaylamba,https://youtube.com/@seemavinaylamba,seeVi la,comedy,IN,222nd,"Mar 13th, 2015",+16K,"-12,766,273",€0 - €0,95th,321st,https://socialblade.com/youtube/channel/UCIcCSfFNPw4sFQ-n1sGXM7Q,438th,9.24M,480K,829,964th,6780926327,-382.988M,€0 - €0
@banglapuzzlezone,https://youtube.com/@banglapuzzlezone,Bangla Puzzle Zone,,IN,939th,"Dec 21st, 2023",+24K,"+14,053,557",€95.9K - €1.5M,--,307th,https://socialblade.com/youtube/channel/UCqXF-d_Lif56oFQjmo4Lzhw,"1,245th",1.49M,721K,154,"23,363rd",783570896,421.607M,€1.2M - €18.4M
@alerttalks,https://youtube.com/@alerttalks,Alert Talks,,IN,798th,"Jan 8th, 2023",+15K,"+13,363,732",€91.2K - €1.5M,--,304th,https://socialblade.com/youtube/channel/UCLir3Zyls_wSngjS2QoEdGw,"1,096th",2.79M,450K,211,"10,205th",1480721337,400.912M,€1.1M - €17.5M
@news24thinkfirst,https://youtube.com/@news24thinkfirst,News 24,news,IN,93rd,"Apr 9th, 2014",+20K,"+15,762,357",€107.6K - €1.7M,13th,305th,https://socialblade.com/youtube/channel/UCuzS3rPQAYqHcLWqOFuY0pw,253rd,20.5M,600K,289121,563rd,10628716309,472.871M,€1.3M - €20.7M
@makeupbyparulgarg,https://youtube.com/@makeupbyparulgarg,Makeup by Parul Garg,people,IN,572nd,"Oct 31st, 2015",+25.3K,"+15,735,617",€107.4K - €1.7M,455th,300th,https://socialblade.com/youtube/channel/UCHwQ2fiRDyd7hikKan5s4Sg,864th,5.16M,760K,991,"2,654th",4002242939,472.069M,€1.3M - €20.6M
@khwahishgal,https://youtube.com/@khwahishgal,Khwahish Gal,music,IN,174th,"Nov 1st, 2017",+26.6K,"+14,895,992",€101.7K - €1.6M,166th,297th,https://socialblade.com/youtube/channel/UCh_la0EpAokx5PChAMCH2Bw,345th,11.3M,800K,807,"1,191st",6815367993,446.88M,€1.2M - €19.5M
@mumbaiindians,https://youtube.com/@mumbaiindians,Mumbai Indians,sports,IN,537th,"Mar 2nd, 2010",+13.3K,"+13,174,629",€89.9K - €1.4M,77th,290th,https://socialblade.com/youtube/channel/UCl23mvQ3321L7zO6JyzhVmg,827th,5.42M,400K,4921,"4,125th",2875019577,395.239M,€1.1M - €17.3M
@sukhasankastar,https://youtube.com/@sukhasankastar,Sukhasan Ka Star,,IN,599th,"Jun 7th, 2021",+24.3K,"+16,528,399",€112.8K - €1.8M,--,284th,https://socialblade.com/youtube/channel/UCmbbkvgMD29P6yQJEAlWaHQ,893rd,4.87M,730K,426,"3,645th",3249510927,495.852M,€1.4M - €21.7M
@shantanushorts,https://youtube.com/@shantanushorts,Shantanu shorts,,IN,224th,"Dec 9th, 2012",+10.6K,"+14,533,018",€99.2K - €1.6M,--,279th,https://socialblade.com/youtube/channel/UCYG3D0QuoGvWM-_IC-87KAg,440th,9.25M,320K,1889,775th,8798257091,435.991M,€1.2M - €19M
@infobellshindirhymes,https://youtube.com/@infobellshindirhymes,Infobells - Hindi,education,IN,13th,"Jun 6th, 2014",+20K,"+14,151,119",€96.6K - €1.5M,4th,270th,https://socialblade.com/youtube/channel/UC1ciY6kR3yj3kaKZ6R7ewAg,31st,62M,600K,669,40th,35873036876,424.534M,€1.2M - €18.5M
@indiatv,https://youtube.com/@indiatv,IndiaTV,news,IN,28th,"Aug 26th, 2006",+20K,"+15,788,296",€107.8K - €1.7M,3rd,263rd,https://socialblade.com/youtube/channel/UCttspZesZIDEwwpVIgoZtWQ,97th,40.3M,600K,301251,181st,19259462252,473.649M,€1.3M - €20.7M
@factzdope,https://youtube.com/@factzdope,Factz dope,,IN,965th,"Apr 21st, 2023",+10.6K,"+11,398,039",€77.8K - €1.2M,--,262nd,https://socialblade.com/youtube/channel/UC3yWa1VLZfQnqMrW4ZfcD0g,"1,274th",1.08M,320K,147,"17,402nd",961902442,341.941M,€933.5K - €14.9M
,,YouTube Shorts,entertainment,IN,966th,"Sep 21st, 2018",+13.7K,"+15,727,975",€107.3K - €1.7M,"1,047th",259th,https://socialblade.com/youtube/channel/UC9bBECcTizRw11NUtOgtUdw,"1,267th",1.09M,413K,5619,"16,879th",933953644,471.839M,€1.3M - €20.6M
@sameervlogsrawatsar,https://youtube.com/@sameervlogsrawatsar,SAMEER VLOGS RAWATSAR,,IN,569th,"Jun 9th, 2022",+13.6K,"+15,672,775",€107K - €1.7M,--,259th,https://socialblade.com/youtube/channel/UC3m9qLy3eHJ3fG-n6LSAyow,861st,5.09M,410K,1363,"2,400th",4249975926,470.183M,€1.3M - €20.5M
@adityareactingboy,https://youtube.com/@adityareactingboy,Aditya reacting boy,people,IN,178th,"Nov 10th, 2021",+23.3K,"+13,042,793",€89K - €1.4M,126th,258th,https://socialblade.com/youtube/channel/UCEDkNgpdtJ4LBt6uWDRM_og,349th,10.8M,700K,993,"1,332nd",6245644726,391.284M,€1.1M - €17.1M
@tiyaa_ningwal_offical,https://youtube.com/@tiyaa_ningwal_offical,tiyaa_ningwal_official,entertainment,IN,138th,"Jul 12th, 2016",+43.3K,"+14,855,501",€101.4K - €1.6M,176th,256th,https://socialblade.com/youtube/channel/UC8GAqy4ZzLwQVmsA2xh9-fw,309th,15M,1.3M,766,"2,092nd",4657041059,445.665M,€1.2M - €19.5M
@ashoksonivlogs,https://youtube.com/@ashoksonivlogs,ashok soni vlogs,,IN,458th,"Aug 7th, 2021",+40.6K,"+21,587,587",€147.3K - €2.4M,--,252nd,https://socialblade.com/youtube/channel/UCREgzDrb8n9J-cLOX6ZrmnA,743rd,6.55M,1.22M,6091,"4,483rd",2902857699,647.628M,€1.8M - €28.3M
@dushyant_kukreja,https://youtube.com/@dushyant_kukreja,Dushyant kukreja,entertainment,IN,29th,"Sep 26th, 2015",+23.3K,"+15,880,549",€108.4K - €1.7M,36th,243rd,https://socialblade.com/youtube/channel/UCo6y9hnRawAqtyWhRhblXqg,98th,40.1M,700K,1173,114th,24463594106,476.416M,€1.3M - €20.8M
@yrf,https://youtube.com/@yrf,YRF,music,IN,16th,"Jun 7th, 2006",+16.6K,"+16,554,964",€113K - €1.8M,14th,237th,https://socialblade.com/youtube/channel/UCbTLwN10NoCU4WDzLf1JMOA,36th,59.8M,500K,4074,27th,40801524714,496.649M,€1.4M - €21.7M
@sweetbibii,https://youtube.com/@sweetbibii,Sweet Bibi,,IN,552nd,"Jan 22nd, 2022",+23.6K,"+15,844,832",€108.1K - €1.7M,--,235th,https://socialblade.com/youtube/channel/UCTBMOcWi70CtE7ogwMCkzoA,843rd,5.35M,710K,558,"2,771st",3866624247,475.345M,€1.3M - €20.8M
@poonamsikarwar92,https://youtube.com/@poonamsikarwar92,PoonamSikarwar,,IN,772nd,"Jul 9th, 2022",+14.3K,"+16,024,835",€109.4K - €1.7M,--,233rd,https://socialblade.com/youtube/channel/UCY5eVNga3ip9r9vrqpyvDHg,"1,070th",3.06M,430K,565,"6,464th",2121014263,480.745M,€1.3M - €21M
@factsmine,https://youtube.com/@factsmine,Facts' Mine,education,IN,164th,"Nov 30th, 2021",+20K,"+15,393,341",€105.1K - €1.7M,61st,227th,https://socialblade.com/youtube/channel/UCC6gbNO098rkQKCU0ZaLITQ,335th,12.2M,600K,864,"1,017th",7365395137,461.8M,€1.3M - €20.2M
@unknownboyvarun7,https://youtube.com/@unknownboyvarun7,unknown boy varun,music,IN,56th,"Sep 27th, 2016",+56.6K,"+20,917,103",€142.8K - €2.3M,59th,223rd,https://socialblade.com/youtube/channel/UC4DLvb5xZ9OLcVM1KC_R97g,166th,30.2M,1.7M,680,443rd,12190938406,627.513M,€1.7M - €27.4M
@news18india,https://youtube.com/@news18india,News18 India,news,IN,73rd,"Oct 25th, 2007",+23.3K,"+15,882,409",€108.4K - €1.7M,7th,225th,https://socialblade.com/youtube/channel/UCPP3etACgdUWvizcES1dJ8Q,213th,24.4M,700K,250164,488th,11495227280,476.472M,€1.3M - €20.8M
@amairagurjar,https://youtube.com/@amairagurjar,Amaira gurjar,,IN,424th,"May 12th, 2014",+12.6K,"+14,284,597",€97.5K - €1.6M,--,221st,https://socialblade.com/youtube/channel/UCnBatb58GQ-2TE1bz3coaIw,700th,6.66M,380K,1048,"1,584th",5590362665,428.538M,€1.2M - €18.7M
@boxofvengeance,https://youtube.com/@boxofvengeance,Box Of Vengeance,,IN,183rd,"Mar 11th, 2021",+55K,"+16,719,064",€114.1K - €1.8M,--,220th,https://socialblade.com/youtube/channel/UCLGHEUaREx_FtNrqfJ8gXIA,355th,10.5M,1.65M,199,"4,307th",2803373066,501.572M,€1.4M - €21.9M
@abpnews,https://youtube.com/@abpnews,ABP NEWS,news,IN,23rd,"Jun 1st, 2012",+26.6K,"+18,295,578",€124.9K - €2M,2nd,217th,https://socialblade.com/youtube/channel/UCRWFSbif-RFENbBrSiez1DA,82nd,42.3M,800K,374363,255th,16412250420,548.867M,€1.5M - €24M
@a4actors,https://youtube.com/@a4actors,Vishal Rajput Official,comedy,IN,185th,"Jul 13th, 2017",+35K,"+17,701,289",€120.8K - €1.9M,83rd,209th,https://socialblade.com/youtube/channel/UC5h5bK_4lGLRXq4JML-v7iw,357th,10.2M,1.05M,448,"2,797th",3843786033,531.039M,€1.4M - €23.2M
@piyuansh2004,https://youtube.com/@piyuansh2004,Piyuansh,,IN,845th,"May 2nd, 2021",+19.6K,"+12,113,698",€82.7K - €1.3M,--,208th,https://socialblade.com/youtube/channel/UChltLvxXd5y_yOdlXYLB7CQ,"1,144th",2.4M,590K,326,"8,827th",1679816692,363.411M,€992.1K - €15.9M
