channel_id,channel_link,channel_name,channel_type,country,country_rank,created_date,daily_subs_average,daily_views_average,estimated_monthly_income,people_rank,social_blade_rank,socialblade_url,subscriber_rank,subscribers,subscribers_last_30_days,uploads,video_view_rank,views,views_last_30_days,yearly_income
@kateryanmusic,https://youtube.com/@kateryanmusic,Kate Ryan,music,BE,290th,"Nov 20th, 2007",34.0,76135.0,4410.0,"1,737th","115,451st",https://socialblade.com/youtube/channel/UC9CoMRH3tdakfnEg1bV3RwQ,"2,198th",161000.0,1K,94.0,"77,457th",222452181.0,2284000.0,53000.0
@gstnarayanshort,https://youtube.com/@gstnarayanshort,GST NARAYAN SHORT,games,IN,276th,"May 21st, 2021",64600.0,15467184.0,902800.0,143rd,363rd,https://socialblade.com/youtube/channel/UCcnkqc1Fu71DTpxhYyP_vUw,510th,8860000.0,1.94M,515.0,"16,754th",1036513029.0,464015000.0,10800000.0
@marlianmusichq615,https://youtube.com/@marlianmusichq615,MarlianMusic HQ,people,NG,243rd,"Jun 25th, 2020",267.0,189441.0,11000.0,"1,527th","90,757th",https://socialblade.com/youtube/channel/UC8ekWiaMOjXd6z5mv6o8GkQ,"1,981st",343000.0,8K,39.0,"121,477th",138609391.0,5683000.0,131850.0
@romanovby,https://youtube.com/@romanovby,Romanov BY,comedy,RU,208th,"Dec 17th, 2013",6330.0,3064511.0,177750.0,355th,"4,720th",https://socialblade.com/youtube/channel/UCSNuul3qAt0Ooz9uBJ1dZag,998th,3750000.0,190K,597.0,"6,143rd",2145050333.0,91935000.0,2125500.0
@realnollytv,https://youtube.com/@realnollytv,Nollywood RealnollyTV,entertainment,NG,34th,"Feb 14th, 2012",667.0,210747.0,12200.0,987th,"90,832nd",https://socialblade.com/youtube/channel/UCRpVhC2Mv9B-CIhYXGb0IdA,"1,210th",1620000.0,20K,4836.0,"41,778th",413729512.0,6322000.0,146750.0
@zortvuz,https://youtube.com/@zortvuz,ZO'R TV,entertainment,RU,107th,"Jan 22nd, 2014",4330.0,3102995.0,180000.0,605th,"4,740th",https://socialblade.com/youtube/channel/UCisKdSbTsPt16yGuN4iNgrA,819th,5460000.0,130K,9733.0,"4,975th",2490217851.0,93090000.0,2177050.0
@starbharat,https://youtube.com/@starbharat,STAR भारत,entertainment,IN,134th,"Apr 5th, 2007",16600.0,14274405.0,848700.0,172nd,364th,https://socialblade.com/youtube/channel/UCCy2rLnGdwoJcSAtixNdsPQ,305th,15200000.0,500K,31035.0,494th,11419126343.0,428232000.0,9950000.0
@lahitapiolalokaltapiola,https://youtube.com/@lahitapiolalokaltapiola,LähiTapiola,education,FI,"1,768th","Sep 16th, 2010",1.0,86393.0,4995.0,"4,199th","166,648th",https://socialblade.com/youtube/channel/UCTtUlLnHvsOEoWlaAEaGV7w,"17,346th",1380.0,10,776.0,"394,482nd",34490189.0,2592000.0,60150.0
@cubehead,https://youtube.com/@cubehead,CubeHead,entertainment,BE,34th,"Sep 8th, 2019",,150973.0,8750.0,"1,035th","115,603rd",https://socialblade.com/youtube/channel/UC9wvQsn9VGQsX9uFWEuQW4A,"1,263rd",1140000.0,--,279.0,"40,748th",423280557.0,4529000.0,105100.0
@benchmarklife,https://youtube.com/@benchmarklife,Benchmark Life,games,FI,873rd,"Jan 20th, 2020",70.0,68590.0,3984.0,"3,768th","168,013th",https://socialblade.com/youtube/channel/UCm3l1NG3fGhEMtXfbohIegA,"9,215th",13500.0,2.1K,103.0,"808,188th",13824972.0,2058000.0,47750.0
@hadise,https://youtube.com/@hadise,Hadise Acikgoz,music,BE,183rd,"Oct 17th, 2008",67.0,222912.0,12900.0,"1,608th","116,442nd",https://socialblade.com/youtube/channel/UCcTEh76rfKkidaNDB9f7cJg,"2,041st",291000.0,2K,45.0,"78,814th",220666192.0,6687000.0,155200.0
@krishnaavyu,https://youtube.com/@krishnaavyu,Krishna Avyu,people,IN,684th,"Sep 5th, 2019",11300.0,12590686.0,742950.0,566th,369th,https://socialblade.com/youtube/channel/UCCczaXpIkXAn1Tl-HODH-PA,981st,3930000.0,340K,1215.0,"3,012th",3646912471.0,377721000.0,8750000.0
@energydiva__,https://youtube.com/@energydiva__,Energy Diva,N/A,NG,167th,"May 8th, 2022",734.0,183258.0,10650.0,--,"92,775th",https://socialblade.com/youtube/channel/UCjCiXBzJSSQVMaUgmLftTzg,"1,817th",501000.0,22K,660.0,"142,308th",116637692.0,5498000.0,127550.0
@doublebubbleanny,https://youtube.com/@doublebubbleanny,Double Bubble,entertainment,RU,80th,"Dec 18th, 2017",4000.0,2767795.0,160550.0,529th,"4,743rd",https://socialblade.com/youtube/channel/UCgFFMzzYIYYn3T6M-v8Kfsw,736th,6260000.0,120K,1614.0,"3,314th",3345317697.0,83034000.0,1913350.0
@how2shirli,https://youtube.com/@how2shirli,How2Shirli,people,DE,234th,"Oct 11th, 2021",1000.0,1430591.0,83000.0,848th,"11,991st",https://socialblade.com/youtube/channel/UC6UrlhHQXm9tWhZcFSfco8Q,"1,269th",1090000.0,30K,934.0,"10,728th",1369315428.0,42918000.0,1008600.0
@ichgluckspilz,https://youtube.com/@ichgluckspilz,GLÜCKSPILZ,N/A,DE,940th,"Nov 26th, 2022",2900.0,1674954.0,97150.0,--,"12,490th",https://socialblade.com/youtube/channel/UCtkZV80sREaZWRnxs-ooUkg,"2,166th",203000.0,87K,271.0,"160,669th",109225285.0,50249000.0,1168600.0
@aeonzee,https://youtube.com/@aeonzee,Aeonzee,N/A,CA,"1,014th","Aug 15th, 2022",7860.0,2532785.0,146950.0,--,"11,091st",https://socialblade.com/youtube/channel/UCWzCzCOB3gsdAmn-MTJX7_Q,"2,156th",273000.0,236K,124.0,"268,575th",87856787.0,75984000.0,1753700.0
@gferdinandus4,https://youtube.com/@gferdinandus4,gferdinandus4,music,AF,68th,"May 23rd, 2008",7.0,7798.0,452.0,"1,960th","667,462nd",https://socialblade.com/youtube/channel/UC8tFDUA5jGaARwXOwgXYDJg,"2,583rd",85100.0,200,47.0,"160,005th",101019020.0,233928.0,5419.5
@kivenro,https://youtube.com/@kivenro,Kivenro,sports,FR,592nd,"Jun 9th, 2019",2660.0,1034172.0,60000.0,726th,"16,036th",https://socialblade.com/youtube/channel/UCR5oDhM18tC-xWhZo_EapOw,"1,718th",603000.0,80K,329.0,"70,013th",253365042.0,31025000.0,742350.0
@martialmma,https://youtube.com/@martialmma,Martial MMA,N/A,FI,552nd,"Aug 24th, 2023",104.0,124487.0,7225.0,--,"165,241st",https://socialblade.com/youtube/channel/UCV_G1WECR5RZrneyxQtgXFw,"3,327th",47900.0,3.1K,63.0,"200,145th",79213757.0,3735000.0,86650.0
@thaifinnishperopusongpina,https://youtube.com/@thaifinnishperopusongpina,Thai-Finnish Pero Pusong Pinay,people,FI,107th,"Oct 22nd, 2019",234.0,94177.0,5471.5,"1,537th","161,715th",https://socialblade.com/youtube/channel/UCse97kKNzkvbEIpqJTG5kPQ,"1,994th",333000.0,7K,1111.0,"139,669th",118196627.0,2825000.0,65550.0
